Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2017,Honda City i VTEC CVT VX,"70,000",Petrol,Automatic,8,Chennai
2018,Ford Ecosport 1.5 Diesel Titanium BSIV,"97,812",Diesel,Manual,6.43,"Vadapalani, Chennai"
2015,Honda Amaze S Diesel,"69,218",Diesel,Manual,5.10,"Meenambakkam, Chennai"
2023,MG Hector Sharp Pro,"13,368",Petrol,Manual,21,"Nandanam, Chennai"
2016,Tata Tiago 1.2 Revotron XE,"60,000",Petrol,Manual,3.50,Chennai
2019,Hyundai i20 Sportz Plus Dual Tone BSIV,"48,790",Petrol,Manual,6.45,"Vadapalani, Chennai"
2020,Honda City SV,"30,687",Petrol,Manual,11.75,"Anna Nagar, Chennai"
2019,Honda Amaze VX CVT Petrol BSIV,"88,057",Petrol,Automatic,6.04,"Thiruverkadu, Chennai"
2018,Honda Amaze VX CVT i-VTEC,"70,000",Petrol,Automatic,5.50,Chennai
2019,Honda City V MT AVN,"72,465",Petrol,Manual,8.20,"Meenambakkam, Chennai"
2019,Honda City i-VTEC CVT ZX,"53,047",Petrol,Automatic,8.52,"Ganapathipuram, Chennai"
2017,Honda City i VTEC V,"97,789",Petrol,Manual,5.77,"Ganapathipuram, Chennai"
2020,Mahindra Marazzo M6 Plus 8Str BSVI,"60,000",Diesel,Manual,13,Chennai
2016,Hyundai i20 Active 1.2 S,"80,095",Petrol,Manual,4.79,"Vadapalani, Chennai"
2018,Honda City i-VTEC CVT ZX,"73,897",Petrol,Automatic,7.69,"Ganapathipuram, Chennai"
2018,Maruti Baleno 1.2 CVT Alpha,"80,799",Petrol,Automatic,5.74,"Thiruverkadu, Chennai"
2018,Volkswagen Vento 1.5 TDI Comfortline,"80,000",Diesel,Manual,7.60,Chennai
2015,Honda City i VTEC V,"92,096",Petrol,Manual,5.05,"Thiruverkadu, Chennai"
2022,Skoda Kushaq 1.0 TSI Style 4 Airbags AT,"49,836",Petrol,Automatic,12.70,"Thiruverkadu, Chennai"
2018,Maruti Swift Dzire VXi AT,"69,598",Petrol,Automatic,6.15,"Meenambakkam, Chennai"
2018,Volkswagen Vento 1.5 TDI Comfortline,"80,000",Diesel,Manual,7.60,Chennai
2017,Hyundai i20 1.2 Asta,"30,000",Petrol,Manual,6.45,"Medavakkam, Chennai"
2018,Honda Amaze VX i-VTEC,"70,000",Petrol,Manual,6.75,"Medavakkam, Chennai"
2019,Hyundai Creta 1.6 E Plus,"43,131",Petrol,Manual,7.97,"Ganapathipuram, Chennai"
2021,Mercedes-Benz E-Class Exclusive E 220d,"55,000",Diesel,Automatic,54.50,"Thygaraya Nagar, Chennai"
2015,Audi Q3 35 TDI Quattro Premium,"95,000",Diesel,Automatic,15,"Ashoknagar, Chennai"
2016,Nissan Micra XV CVT,"60,922",Petrol,Automatic,3.80,"Ganapathipuram, Chennai"
2022,Honda Amaze S Diesel,"92,162",Diesel,Manual,7.50,"Meenambakkam, Chennai"
2013,Volkswagen Polo Highline Breeze,"89,000",Petrol,Manual,5.90,"Triplicane, Chennai"
2019,Volkswagen Vento 1.2 TSI Highline AT,"63,000",Petrol,Automatic,7.90,"Chromepet, Chennai"
2015,Toyota Corolla Altis 1.8 VL AT,"85,000",Petrol,Automatic,8.25,"Thygaraya Nagar, Chennai"
2020,Honda Amaze S Petrol,"43,607",Petrol,Manual,6.60,"Meenambakkam, Chennai"
2016,Honda Jazz 1.2 V AT i VTEC,"40,000",Petrol,Automatic,6.50,"Medavakkam, Chennai"
2017,Mercedes-Benz GLA 4MATIC,"85,000",Petrol,Automatic,21.50,"Ashoknagar, Chennai"
2014,Honda Amaze SX i VTEC,"60,983",Petrol,Manual,4.25,"MEENAMBAKKAM, Chennai"
2019,Maruti Baleno Alpha,"63,388",Petrol,Manual,6.70,"Anna Nagar, Chennai"
2017,Mercedes-Benz GLC 220d 4MATIC Sport,"65,000",Diesel,Automatic,33.75,"Thygaraya Nagar, Chennai"
2016,Volkswagen Ameo 1.5 TDI Comfortline,"63,162",Diesel,Manual,6.05,"MEENAMBAKKAM, Chennai"
2013,Volvo XC 90 D5 AT AWD,"2,00,000",Diesel,Automatic,13.50,"Ashoknagar, Chennai"
2015,Mercedes-Benz M-Class ML 350 4Matic,"70,000",Diesel,Automatic,30,"Thygaraya Nagar, Chennai"
2014,Volvo XC 90 D5 AT AWD,"95,000",Diesel,Automatic,16.50,"Ashoknagar, Chennai"
2019,Hyundai Grand i10 Nios AMT Sportz,"20,543",Petrol,Automatic,6.20,"Anna Nagar, Chennai"
2024,Kia Carens Premium Opt,"5,000",Petrol,Manual,12.60,"Thygaraya Nagar, Chennai"
2017,Honda Jazz 1.2 V i VTEC,"42,742",Petrol,Manual,5,"Vadapalani, Chennai"
2017,Honda Jazz 1.2 V AT i VTEC,"37,000",Petrol,Automatic,5.99,"Thygaraya Nagar, Chennai"
2016,Ford Ecosport 1.5 Diesel Titanium Plus,"1,10,000",Diesel,Manual,5.45,"Thygaraya Nagar, Chennai"
2018,Mahindra KUV 100 mFALCON G80 K8 Dual Tone,"32,832",Petrol,Manual,5.20,"Vadapalani, Chennai"
2021,Skoda Rapid 1.0 TSI Ambition,"54,391",Petrol,Manual,7.42,"Vadapalani, Chennai"
