Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Maruti Ciaz Sigma BSIV,"33,121",Petrol,Manual,7.45,"Bellandur, Bangalore"
2022,Hyundai i20 N-Line N6 iMT BSVI,"41,546",Petrol,Manual,8.24,"Jakkur, Bangalore"
2019,Volvo S90 D4 Inscription BSIV,"55,100",Diesel,Automatic,35,"BTM Layout, Bangalore"
2016,Maruti Baleno 1.2 Alpha,"66,261",Petrol,Manual,5.94,"BTM Layout, Bangalore"
2018,Hyundai i20 1.2 Asta,"55,000",Petrol,Manual,7.65,"Panathur, Bangalore"
2016,Hyundai i20 Active 1.2 S,"32,000",Petrol,Manual,7.75,"Adugodi, Bangalore"
2016,Audi A6 35 TDI,"34,548",Diesel,Automatic,24.95,"BTM Layout, Bangalore"
2019,Hyundai i20 Sportz Plus BSIV,"80,000",Petrol,Manual,6.85,"Gottigere, Bangalore"
2020,Maruti Wagon R VXI Opt,"52,369",Petrol,Manual,5.10,"Marathahalli Colony, Bangalore"
2017,Maruti Baleno 1.2 Alpha,"53,000",Petrol,Manual,6.80,"Nandagudi, Bangalore"
2014,Mercedes-Benz B Class B180 CDI,"52,531",Diesel,Automatic,10.75,"BTM Layout, Bangalore"
2019,Hyundai Xcent 1.2 VTVT SX,"60,558",Petrol,Manual,5.01,"Jakkur, Bangalore"
2012,Audi A6 2.0 TDI Premium Plus,"1,10,000",Diesel,Automatic,14.95,"City, Bangalore"
2019,Maruti Ciaz 1.4 Delta,"68,000",Petrol,Manual,6.25,"Nagavara, Bangalore"
2021,Toyota Camry Hybrid 2.5,"21,400",Petrol,Automatic,37.99,"BTM Layout, Bangalore"
2017,Maruti Ciaz 1.4 AT Delta,"58,951",Petrol,Automatic,6.10,"Richmond Town, Bangalore"
2019,Skoda Octavia 1.8 TSI AT L K,"63,000",Petrol,Automatic,18.01,"Adugodi, Bangalore"
2021,Maruti XL6 Alpha AT,"58,780",Petrol,Automatic,12.35,"Nagavara, Bangalore"
2020,BMW X1 sDrive 20d xLine,"42,435",Diesel,Automatic,33.49,"BTM Layout, Bangalore"
2019,Maruti Baleno Zeta,"48,000",Petrol,Manual,6.85,"Amruthahalli, Bangalore"
2019,Honda Amaze VX Petrol BSIV,"69,989",Petrol,Manual,5.80,"Jakkur, Bangalore"
2016,Maruti Ciaz RS ZXi Plus,"87,878",Petrol,Manual,6.04,"Kengiri Satellite Town, Bangalore"
2017,Renault Duster 110PS Diesel RxZ AMT,"84,000",Diesel,Automatic,6.95,"Nagadenahalli, Bangalore"
2020,Kia Seltos HTK Plus D,"63,000",Diesel,Manual,12.50,"Nandagudi, Bangalore"
2017,Hyundai i20 Asta 1.4 CRDi,"61,000",Diesel,Manual,7.25,"Chikkalasandra, Bangalore"
2016,Hyundai Creta 1.6 VTVT SX Plus,"76,000",Petrol,Manual,8.25,"Panathur, Bangalore"
2016,Ford Ecosport 1.5 TDCi Titanium BSIV,"98,000",Diesel,Manual,6.20,"Nagadenahalli, Bangalore"
2018,Maruti Baleno 1.2 Alpha,"60,420",Petrol,Manual,6.79,"Samethanahalli, Bangalore"
2015,Honda Jazz 1.2 SV i VTEC,"52,168",Petrol,Manual,5.45,"HSR Layout, Bangalore"
2013,Maruti Swift ZXI,"76,893",Petrol,Manual,4.44,"Singasandra, Bangalore"
2019,Audi Q3 35 TDI Quattro Technology,"88,881",Diesel,Automatic,23.95,"BTM Layout, Bangalore"
2018,Maruti Ciaz 1.4 AT Alpha,"62,536",Petrol,Automatic,7.50,"Marathahalli Colony, Bangalore"
2022,Renault KWID 1.0 RXT Opt,"14,000",Petrol,Manual,5.20,"Maruthi Nagar, Bangalore"
2017,Maruti Ciaz 1.4 Delta,"1,02,000",Petrol,Manual,5.85,"R T Nagar, Bangalore"
2008,Toyota Corolla H5,"1,20,215",Petrol,Manual,2.45,"Electronics City, Bangalore"
2020,Maruti Ciaz Alpha BSVI,"1,22,512",Petrol,Manual,7.99,"Malleswaram, Bangalore"
2016,Maruti Baleno Zeta Diesel,"77,411",Diesel,Manual,5.62,"Malleswaram, Bangalore"
2016,Maruti Baleno 1.2 Alpha,"37,000",Petrol,Manual,7,"City, Bangalore"
2012,Hyundai i20 1.4 CRDi Sportz,"80,880",Diesel,Manual,4.25,"Electronics City, Bangalore"
2016,Maruti Ciaz AT ZXi Plus,"30,346",Petrol,Automatic,7.85,"Doorvaninagar, Bangalore"
2019,Maruti Ciaz Alpha BSIV,"49,000",Petrol,Manual,7.45,"Panathur, Bangalore"
2019,Maruti Ignis 1.2 Zeta BSIV,"35,000",Petrol,Manual,6.35,"Banashankari III Stage, Bangalore"
2017,Tata Tiago 1.2 Revotron XZA,"72,000",Petrol,Automatic,4.95,"Nagadenahalli, Bangalore"
2014,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,"1,09,000",Diesel,Manual,10.75,"Tilaknagar, Bangalore"
2018,Maruti S Cross Zeta DDiS 200 SH,"50,000",Diesel,Manual,8.90,"Banashankari Iii Stage, Bangalore"
2019,Maruti Ciaz Alpha BSVI,"30,915",Petrol,Manual,8.45,"Singasandra, Bangalore"
2014,Mahindra XUV500 W8 FWD,"89,000",Diesel,Manual,7.40,"Nagadenahalli, Bangalore"
2018,Maruti Swift AMT ZXI BSIV,"53,000",Petrol,Automatic,6.50,"Bazaar, Bangalore"
2014,Skoda Octavia Elegance 1.8 TSI AT,"96,000",Petrol,Automatic,7.75,"Tilaknagar, Bangalore"
2018,Maruti Swift ZXI,"60,000",Petrol,Manual,6.60,"Chikkalasandra, Bangalore"
2020,Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,"32,000",Diesel,Automatic,53.95,"Indiranagar, Bangalore"
2018,Maruti Baleno 1.3 Zeta,"79,121",Diesel,Manual,6.95,"Singasandra, Bangalore"
2018,Maruti Ciaz 1.3 Alpha,"51,042",Diesel,Manual,7.45,"Singasandra, Bangalore"
2018,Maruti Ignis 1.2 Alpha BSIV,"73,043",Petrol,Manual,5.49,"Kengiri Satellite Town, Bangalore"
2023,Jeep Compass 2.0 Model S Opt 4x4 AT,"7,200",Diesel,Automatic,31.99,"Adugodi, Bangalore"
2007,Mitsubishi Montero 3.2 GLS,"1,01,000",Diesel,Manual,7.45,"Banashankari III Stage, Bangalore"
2017,Maruti Baleno Zeta CVT,"73,000",Petrol,Automatic,6.75,"Hosur Road, Bangalore"
2016,Maruti Baleno 1.2 Delta,"75,000",Petrol,Manual,6,"Rajajinagar, Bangalore"
2019,BMW X1 sDrive 20d xLine,"47,067",Diesel,Automatic,33.45,"City, Bangalore"
2016,Maruti Baleno 1.2 CVT Zeta,"56,000",Petrol,Automatic,5.25,"Ramamurthy Nagar, Bangalore"
2015,Maruti S Cross DDiS 200 Zeta,"36,000",Diesel,Manual,7.25,"City, Bangalore"
2016,Maruti S Cross DDiS 200 Zeta,"49,849",Diesel,Manual,7.75,"Singasandra, Bangalore"
2021,Tata Harrier XTA Plus AT BSVI,"48,375",Diesel,Automatic,18.49,"City, Bangalore"
2020,Maruti Ciaz S,"27,000",Petrol,Manual,9.75,"Maruthi Nagar, Bangalore"
2013,Skoda Rapid 1.6 MPI Elegance,"43,618",Petrol,Manual,5.15,"Bommanahalli, Bangalore"
2020,Maruti Ciaz S,"27,000",Petrol,Manual,9.90,"Maruthi Nagar, Bangalore"
2018,Skoda Superb Style 1.8 TSI AT,"48,000",Petrol,Automatic,17.75,"Indiranagar, Bangalore"
2016,Hyundai Grand i10 Asta,"64,000",Petrol,Manual,5.35,"JP Nagar III Phase, Bangalore"
2016,Skoda Rapid 1.5 TDI Style Plus,"1,32,665",Diesel,Manual,5.50,"Doorvaninagar, Bangalore"
2017,Hyundai i20 Sportz 1.2,"45,364",Petrol,Manual,6.65,"HSR Layout, Bangalore"
2023,Tata Nexon EV XZ Plus,"23,700",Electric,Automatic,13.35,"Adugodi, Bangalore"
2016,Honda City i VTEC SV,"99,000",Petrol,Manual,5.90,"Maruthi Nagar, Bangalore"
2019,Hyundai i20 Active SX Petrol,"40,000",Petrol,Manual,7.55,"R T Nagar, Bangalore"
