Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2021,Tata Nexon XZ Plus (O) Dark Edition BSVI,18189,Petrol,Manual,825000,Ahmedabad
2020,Kia Sonet GTX Plus Turbo iMT,50206,Petrol,Automatic,910000,Ahmedabad
2015,Hyundai Creta 1.6 CRDi AT SX Plus,70000,Diesel,Automatic,695000,Ahmedabad
2016,Honda Brio S MT,39000,Petrol,Manual,375000,Ahmedabad
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,91645,Petrol,Manual,507000,Ahmedabad
2022,Maruti Baleno Alpha Diesel,29111,Diesel,Manual,743000,Ahmedabad
2020,Hyundai Santro Magna Corp Edition,123378,Petrol,Manual,384000,Ahmedabad
2022,Maruti Ignis Sigma,25771,Petrol,Manual,466000,Ahmedabad
2018,Hyundai Creta 1.6 SX,74701,Petrol,Manual,1051000,Ahmedabad
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,87000,Petrol,Manual,525000,Ahmedabad
2019,Hyundai Tucson 2.0 e-VGT 2WD AT GL Opt,79000,Diesel,Automatic,1475000,Ahmedabad
2014,Maruti Alto K10 MusiK edition,71413,Petrol,Manual,220000,Ahmedabad
2020,Maruti Baleno Zeta,58522,Petrol,Manual,513999,Ahmedabad
2021,Hyundai Grand i10 1.2 Kappa Sportz BSIV,24347,Petrol,Manual,598000,Ahmedabad
2021,Maruti Ignis Alpha,21648,Petrol,Manual,606000,Ahmedabad
2019,Maruti Dzire VXI,51004,Petrol,Manual,569000,Ahmedabad
2012,Honda Brio S MT,46702,Petrol,Manual,283000,Ahmedabad
2012,Honda Brio S MT,43753,Petrol,Manual,287000,Ahmedabad
2021,Skoda Kushaq 1.0 TSI Style,80446,Petrol,Manual,1051000,Ahmedabad
2017,Hyundai i20 1.2 Asta Option,86446,Petrol,Manual,539000,Ahmedabad
2017,Hyundai i20 Active 1.2 SX,45200,Petrol,Manual,545000,Ahmedabad
2016,Tata Zest Revotron 1.2T XM,94000,Petrol,Manual,375000,Ahmedabad
2012,Nissan Sunny XL,69787,Petrol,Manual,300000,Ahmedabad
2015,Hyundai Grand i10 Sportz,92394,Petrol,Manual,391000,Ahmedabad
2015,Honda Amaze S i-Vtech,83221,Petrol,Manual,392000,Ahmedabad
2017,Maruti Ciaz Petrol,84306,Diesel,Manual,515000,Ahmedabad
2015,Hyundai Grand i10 Sportz,64544,Petrol,Manual,381000,Ahmedabad
2014,Tata Zest Quadrajet 1.3 XMA,114000,Diesel,Automatic,215000,Ahmedabad
2020,Maruti Swift VXI,32287,Petrol,Manual,557000,Ahmedabad
2022,Maruti Alto 800 LXi,9753,Petrol,Manual,373000,Ahmedabad
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,31549,Petrol,Manual,401000,Ahmedabad
2017,Hyundai Xcent 1.2 VTVT S,33000,Petrol,Manual,475000,Ahmedabad
2014,Hyundai i10 Sportz 1.1L,68000,Petrol,Manual,350000,Ahmedabad
2020,Hyundai Grand i10 1.2 Kappa Sportz BSIV,30231,Petrol,Manual,581000,Ahmedabad
2019,Maruti Ciaz Petrol,91832,Diesel,Manual,639000,Ahmedabad
2020,Tata Altroz XZ,69649,Petrol,Manual,569000,Ahmedabad
2017,Maruti Dzire ZXI Plus,96374,Petrol,Manual,534000,Ahmedabad
2019,Hyundai Santro Sportz,28402,Petrol,Manual,451999,Ahmedabad
2023,Hyundai Verna SX Turbo DCT,13358,Petrol,Automatic,1488000,Ahmedabad
2021,Maruti Celerio ZXI Plus,33375,Petrol,Manual,507000,Ahmedabad
2021,Toyota Innova Crysta 2.4 G 7 STR,67000,Diesel,Manual,1989999,Ahmedabad
