Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Maruti Baleno 1.2 Delta,"43,000",Petrol,Manual,4.95,"Andheri East, Mumbai"
2018,Jaguar F-Pace Prestige 2.0 AWD,"58,100",Diesel,Automatic,35.50,"Andheri West, Mumbai"
2019,Hyundai Verna VTVT 1.6 AT SX Plus,"40,000",Petrol,Automatic,8.25,"Andheri East, Mumbai"
2019,BMW 3 Series GT Luxury Line,"53,500",Diesel,Automatic,25.75,"Andheri East, Mumbai"
2015,Honda CR-V 2.0L 2WD AT,"83,000",Petrol,Automatic,6.55,"Andheri East, Mumbai"
2018,Volkswagen Tiguan 2.0 TDI Highline,"57,000",Diesel,Automatic,21,"Vikhroli, Mumbai"
2024,Volvo XC 90 B6 Ultimate,"22,000",Petrol,Automatic,89.75,"Khar (w), Mumbai"
2014,Maruti Swift Dzire VXI,"58,400",Petrol,Manual,3.75,"Andheri East, Mumbai"
2019,Kia Seltos HTK G,"27,784",Petrol,Manual,8.50,"Thane West, Mumbai"
2012,BMW 7 Series 730Ld Sedan,"43,000",Diesel,Automatic,20.50,"Borivali West, Mumbai"
2018,BMW 5 Series 530d M Sport,"52,000",Diesel,Automatic,36.90,"Andheri East, Mumbai"
2021,Renault Kiger RXL,"46,000",Petrol,Manual,4.75,"Andheri East, Mumbai"
2018,Jaguar F-Pace Prestige 2.0 AWD,"42,000",Diesel,Automatic,38.75,"Andheri East, Mumbai"
2017,Audi Q7 40 TFSI Quattro,"93,700",Petrol,Automatic,31.50,"Andheri West, Mumbai"
2020,Land Rover Discovery Sport TD4 SE,"49,000",Diesel,Automatic,46.75,"Andheri East, Mumbai"
2018,Honda City i-VTEC V,"11,848",Petrol,Manual,6.49,"Antop Hill, Mumbai"
2018,Hyundai Creta 1.4 E Plus CRDi,"71,000",Diesel,Manual,8.75,"Ghatkopar East, Mumbai"
2024,Mercedes-Benz GLE 300d 4Matic,"4,500",Diesel,Automatic,99.75,"Vileparle(west) S.o, Mumbai"
2021,Kia Seltos GTX Plus Diesel AT,"30,000",Diesel,Automatic,17.25,"Borivali West, Mumbai"
2022,MG Astor Sharp BSVI,"12,951",Petrol,Manual,12.25,"Thane West, Mumbai"
2021,MG Hector Sharp DCT,"36,000",Petrol,Automatic,14.95,"Andheri East, Mumbai"
2017,Jeep Compass 1.4 Longitude Plus AT,"44,000",Petrol,Automatic,11.90,"Vikhroli, Mumbai"
